datetime,open,high,low,close,volume,symbol
2025-05-07 14:30:00+03:00,289.0,289.25,286.25,286.5,1521836,THYAO
2025-05-07 15:30:00+03:00,286.75,287.0,281.25,281.75,4069440,THYAO
2025-05-07 16:30:00+03:00,281.75,282.0,277.5,278.0,7120396,THYAO
2025-05-07 17:30:00+03:00,278.0,280.25,276.25,279.0,5421294,THYAO
2025-05-08 09:30:00+03:00,280.5,282.75,280.5,281.25,0,THYAO
2025-05-08 10:30:00+03:00,281.25,281.75,279.0,281.5,3596802,THYAO
2025-05-08 11:30:00+03:00,281.5,284.75,281.0,283.75,4590438,THYAO
2025-05-08 12:30:00+03:00,283.5,284.5,283.5,284.0,1340717,THYAO
2025-05-08 13:30:00+03:00,283.75,285.5,283.75,285.0,1882629,THYAO
2025-05-08 14:30:00+03:00,284.75,285.25,283.0,284.0,1954987,THYAO
2025-05-08 15:30:00+03:00,284.0,284.75,283.25,284.25,1094434,THYAO
2025-05-08 16:30:00+03:00,284.25,285.25,282.25,284.5,2523120,THYAO
2025-05-08 17:30:00+03:00,284.5,285.0,283.75,284.25,895585,THYAO
2025-05-09 09:30:00+03:00,285.5,291.25,285.5,289.0,0,THYAO
2025-05-09 10:30:00+03:00,289.0,289.25,287.0,287.25,1367610,THYAO
2025-05-09 11:30:00+03:00,287.0,287.5,286.0,287.25,1069208,THYAO
2025-05-09 12:30:00+03:00,287.0,288.75,286.75,287.25,1552765,THYAO
2025-05-09 13:30:00+03:00,287.25,290.0,287.25,289.5,2251393,THYAO
2025-05-09 14:30:00+03:00,289.5,296.5,288.75,295.25,6315206,THYAO
2025-05-09 15:30:00+03:00,295.25,296.0,293.75,295.0,4077671,THYAO
2025-05-09 16:30:00+03:00,295.0,295.25,293.0,294.0,1849803,THYAO
2025-05-09 17:30:00+03:00,293.75,294.5,292.75,292.75,1506513,THYAO
2025-05-12 09:30:00+03:00,305.5,306.5,303.25,303.5,0,THYAO
2025-05-12 10:30:00+03:00,303.25,305.0,302.75,304.5,3567741,THYAO
2025-05-12 11:30:00+03:00,304.5,306.0,304.0,304.0,3879674,THYAO
2025-05-12 12:30:00+03:00,304.25,304.5,303.25,303.75,1680679,THYAO
2025-05-12 13:30:00+03:00,304.0,304.5,303.75,304.25,724556,THYAO
2025-05-12 14:30:00+03:00,304.0,304.75,303.75,304.25,747293,THYAO
2025-05-12 15:30:00+03:00,304.25,304.75,303.75,304.75,865466,THYAO
2025-05-12 16:30:00+03:00,304.75,308.0,304.5,306.25,4754072,THYAO
2025-05-12 17:30:00+03:00,306.5,309.75,306.0,309.0,3617068,THYAO
2025-05-13 09:30:00+03:00,307.5,308.5,305.0,307.0,0,THYAO
2025-05-13 10:30:00+03:00,307.0,307.25,305.0,306.0,3098035,THYAO
2025-05-13 11:30:00+03:00,306.0,306.5,305.25,305.75,1097754,THYAO
2025-05-13 12:30:00+03:00,305.5,305.75,304.0,304.0,1162318,THYAO
2025-05-13 13:30:00+03:00,304.0,304.5,303.0,304.0,1810958,THYAO
2025-05-13 14:30:00+03:00,304.25,305.5,303.75,305.25,1465548,THYAO
2025-05-13 15:30:00+03:00,305.5,306.0,304.25,305.75,2314810,THYAO
2025-05-13 16:30:00+03:00,305.75,306.25,305.0,305.75,2561298,THYAO
2025-05-13 17:30:00+03:00,306.0,306.0,304.25,304.5,1644552,THYAO
2025-05-14 09:30:00+03:00,303.25,303.25,301.5,303.25,0,THYAO
2025-05-14 10:30:00+03:00,303.0,303.25,301.25,301.75,2049022,THYAO
2025-05-14 11:30:00+03:00,301.75,302.0,300.25,301.0,1765629,THYAO
2025-05-14 12:30:00+03:00,301.0,302.5,299.75,300.5,3650670,THYAO
2025-05-14 13:30:00+03:00,300.5,302.25,300.25,301.5,3078776,THYAO
2025-05-14 14:30:00+03:00,301.5,301.5,300.0,301.0,1792221,THYAO
2025-05-14 15:30:00+03:00,301.0,301.75,300.0,301.0,2327924,THYAO
2025-05-14 16:30:00+03:00,301.0,301.25,299.5,299.75,2172806,THYAO
2025-05-14 17:30:00+03:00,299.75,300.0,299.25,299.5,2246068,THYAO
2025-05-15 09:30:00+03:00,299.75,301.0,299.0,299.25,0,THYAO
2025-05-15 10:30:00+03:00,299.0,299.5,297.5,298.0,2281221,THYAO
2025-05-15 11:30:00+03:00,297.75,298.5,297.5,298.5,760141,THYAO
2025-05-15 12:30:00+03:00,298.25,298.5,296.75,298.25,1095917,THYAO
2025-05-15 13:30:00+03:00,298.25,298.25,296.75,297.5,1031059,THYAO
2025-05-15 14:30:00+03:00,297.25,297.25,295.75,296.5,1349725,THYAO
2025-05-15 15:30:00+03:00,296.5,297.5,296.25,297.0,963163,THYAO
2025-05-15 16:30:00+03:00,297.25,297.5,292.5,293.5,3193294,THYAO
2025-05-15 17:30:00+03:00,293.75,294.75,292.25,293.25,2292010,THYAO
2025-05-16 09:30:00+03:00,294.0,296.25,293.75,295.0,0,THYAO
2025-05-16 10:30:00+03:00,295.0,295.25,293.5,294.75,1495460,THYAO
2025-05-16 11:30:00+03:00,294.75,294.75,294.0,294.75,844508,THYAO
2025-05-16 12:30:00+03:00,294.75,296.25,294.0,295.0,1802332,THYAO
